Customer Reference ID,Item Purchased,Purchase Amount (USD),Date Purchase,Review Rating,Payment Method,Days Since Last Purchase,Churn Risk,Days Between Purchases,Predicted Days Until Next Purchase,Predicted Next Purchase Date,Purchase Count,Total Revenue,Customer Lifetime Value (CLV),Hour of Purchase,Minute of Purchase,Hour-Minute
4040,Shorts,4872.0,2023-08-25,3.8,Cash,4,0,0.24366110080395795,0.24366110080395867,2023-08-25,25,10427.0,10427.0,0,0,00:00
4099,Blazer,4232.0,2022-10-25,2.7,Credit Card,15,0,0.24366110080395795,0.24366110080395856,2022-10-25,18,6222.0,6222.0,0,0,00:00
3981,Boots,3718.0,2023-09-10,2.8,Credit Card,21,0,0.24366110080395795,0.24366110080395847,2023-09-10,20,5866.0,5866.0,0,0,00:00
4070,Poncho,2902.0,2023-08-04,4.9,Cash,26,0,0.24366110080395795,0.2436611008039583,2023-08-04,28,5734.0,5734.0,0,0,00:00
4002,Belt,3839.0,2023-05-26,1.8,Cash,34,0,0.24366110080395795,0.24366110080395847,2023-05-26,26,6760.0,6760.0,0,0,00:00
4035,Tunic,4413.0,2022-12-23,1.2,Credit Card,9,0,0.24366110080395795,0.24366110080395859,2022-12-23,18,5811.0,5811.0,0,0,00:00
4060,Boots,3139.0,2023-01-26,3.4,Credit Card,5,0,0.24366110080395795,0.24366110080395836,2023-01-26,18,5143.0,5143.0,0,0,00:00
3974,Flip-Flops,2026.0,2023-04-16,4.0,Cash,2,0,0.24366110080395795,0.24366110080395814,2023-04-16,21,4194.0,4194.0,0,0,00:00
4110,Hoodie,2653.0,2022-10-11,4.2,Credit Card,0,0,0.24366110080395795,0.24366110080395828,2022-10-11,22,4577.0,4577.0,0,0,00:00
3984,Sweater,4859.0,2022-12-19,5.0,Cash,31,0,0.24366110080395795,0.24366110080395867,2022-12-19,19,6877.0,6877.0,0,0,00:00
4109,Blouse,3731.0,2023-03-02,,Credit Card,1,0,72.0,71.99999999999999,2023-05-13,16,10015.0,10015.0,0,0,00:00
4054,Swimsuit,3393.0,2023-02-28,4.3,Cash,24,0,0.24366110080395795,0.2436611008039584,2023-02-28,20,5755.0,5755.0,0,0,00:00
4040,Kimono,3138.0,2023-05-12,,Credit Card,4,0,-105.0,-104.99999999999997,2023-01-27,25,10427.0,10427.0,0,0,00:00
4083,Cardigan,2636.0,2023-04-09,1.7,Cash,23,0,0.24366110080395795,0.24366110080395825,2023-04-09,26,5265.0,5265.0,0,0,00:00
4122,Socks,2881.0,2023-02-22,,Credit Card,2,0,0.24366110080395795,0.2436611008039583,2023-02-22,32,6092.0,6092.0,0,0,00:00
3972,Pants,3378.0,2023-05-06,3.6,Cash,77,0,0.24366110080395795,0.2436611008039584,2023-05-06,20,5158.0,5158.0,0,0,00:00
3980,Pajamas,2418.0,2023-05-26,2.2,Credit Card,3,0,0.24366110080395795,0.24366110080395822,2023-05-26,21,4471.0,4471.0,0,0,00:00
4012,Scarf,2379.0,2023-05-29,2.9,Credit Card,13,0,0.24366110080395795,0.24366110080395822,2023-05-29,17,4092.0,4092.0,0,0,00:00
3992,Backpack,101.0,2022-12-13,1.3,Credit Card,9,0,0.24366110080395795,0.2436611008039578,2022-12-13,24,2568.0,2568.0,0,0,00:00
4105,Dress,164.0,2022-10-20,3.2,Credit Card,7,0,0.24366110080395795,0.2436611008039578,2022-10-20,26,2398.0,2398.0,0,0,00:00
4119,Boots,21.0,2023-04-03,3.9,Cash,7,0,0.24366110080395795,0.24366110080395778,2023-04-03,16,1687.0,1687.0,0,0,00:00
3957,Camisole,147.0,2022-11-04,4.7,Cash,85,0,0.24366110080395795,0.2436611008039578,2022-11-04,14,1480.0,1480.0,0,0,00:00
3994,Loafers,110.0,2023-05-16,3.9,Cash,21,0,0.24366110080395795,0.2436611008039578,2023-05-16,25,2751.0,2751.0,0,0,00:00
3995,Bowtie,30.0,2022-11-23,4.1,Cash,11,0,0.24366110080395795,0.24366110080395778,2022-11-23,20,2008.0,2008.0,0,0,00:00
4072,Poncho,170.0,2022-10-15,3.6,Credit Card,9,0,0.24366110080395795,0.2436611008039578,2022-10-15,22,2398.0,2398.0,0,0,00:00
4093,Trousers,102.0,2023-05-25,2.1,Cash,7,0,0.24366110080395795,0.2436611008039578,2023-05-25,25,2562.0,2562.0,0,0,00:00
4031,Blouse,190.0,2023-01-14,3.0,Cash,37,0,0.24366110080395795,0.2436611008039578,2023-01-14,21,2659.0,2659.0,0,0,00:00
4056,Sneakers,110.0,2022-11-02,,Credit Card,1,0,0.24366110080395795,0.2436611008039578,2022-11-02,23,2416.0,2416.0,0,0,00:00
4114,Leggings,84.0,2023-06-15,3.8,Cash,3,0,0.24366110080395795,0.2436611008039578,2023-06-15,17,1667.0,1667.0,0,0,00:00
4104,Backpack,69.0,2023-05-27,2.1,Cash,1,0,0.24366110080395795,0.24366110080395778,2023-05-27,18,2175.0,2175.0,0,0,00:00
4071,Tunic,107.0,2022-12-03,1.5,Cash,39,0,0.24366110080395795,0.2436611008039578,2022-12-03,19,2346.0,2346.0,0,0,00:00
4007,Dress,172.0,2023-04-05,1.9,Cash,46,0,0.24366110080395795,0.2436611008039578,2023-04-05,16,1763.0,1763.0,0,0,00:00
4009,Flannel Shirt,51.0,2023-04-16,1.8,Cash,7,0,0.24366110080395795,0.24366110080395778,2023-04-16,20,1679.0,1679.0,0,0,00:00
4038,Tie,63.0,2023-02-13,4.3,Cash,48,0,0.24366110080395795,0.24366110080395778,2023-02-13,19,1778.0,1778.0,0,0,00:00
4033,Backpack,189.0,2023-08-31,4.9,Cash,31,0,0.24366110080395795,0.2436611008039578,2023-08-31,21,2668.0,2668.0,0,0,00:00
4102,Cardigan,175.0,2023-06-05,3.6,Credit Card,24,0,127.0,126.99999999999997,2023-10-10,26,4855.0,4855.0,0,0,00:00
4034,Tunic,110.0,2023-07-01,1.5,Credit Card,24,0,0.24366110080395795,0.2436611008039578,2023-07-01,32,3734.0,3734.0,0,0,00:00
4068,Jeans,146.0,2023-08-26,1.1,Cash,17,0,260.0,259.99999999999994,2024-05-12,26,6157.0,6157.0,0,0,00:00
4045,Gloves,51.0,2023-01-27,2.5,Credit Card,30,0,0.24366110080395795,0.24366110080395778,2023-01-27,15,1682.0,1682.0,0,0,00:00
3979,Camisole,79.0,2023-06-05,1.3,Cash,23,0,0.24366110080395795,0.2436611008039578,2023-06-05,22,2445.0,2445.0,0,0,00:00
4106,Trousers,173.0,2023-09-07,3.4,Credit Card,24,0,0.24366110080395795,0.2436611008039578,2023-09-07,22,2502.0,2502.0,0,0,00:00
3959,Trousers,66.0,2022-11-02,4.5,Cash,28,0,0.24366110080395795,0.24366110080395778,2022-11-02,22,2377.0,2377.0,0,0,00:00
4113,Boots,24.0,2023-01-20,1.2,Credit Card,16,0,0.24366110080395795,0.24366110080395778,2023-01-20,22,2491.0,2491.0,0,0,00:00
4087,Scarf,18.0,2022-11-21,1.7,Credit Card,23,0,0.24366110080395795,0.24366110080395778,2022-11-21,13,1469.0,1469.0,0,0,00:00
4060,Polo Shirt,112.0,2023-06-08,1.2,Cash,5,0,133.0,132.99999999999997,2023-10-19,18,5143.0,5143.0,0,0,00:00
3989,Sweater,64.0,2023-03-13,3.2,Credit Card,18,0,0.24366110080395795,0.24366110080395778,2023-03-13,22,2354.0,2354.0,0,0,00:00
4032,Wallet,155.0,2023-03-08,1.1,Credit Card,19,0,0.24366110080395795,0.2436611008039578,2023-03-08,19,1830.0,1830.0,0,0,00:00
3972,Boots,90.0,2023-01-26,4.6,Credit Card,77,0,-100.0,-99.99999999999997,2022-10-18,20,5158.0,5158.0,0,0,00:00
4051,Umbrella,137.0,2023-06-30,4.6,Cash,7,0,0.24366110080395795,0.2436611008039578,2023-06-30,26,2643.0,2643.0,0,0,00:00
4097,Tank Top,174.0,2022-10-10,3.4,Cash,116,1,-156.0,-155.99999999999997,2022-05-07,11,4256.0,4256.0,0,0,00:00
3970,Camisole,77.0,2023-01-05,2.4,Cash,5,0,0.24366110080395795,0.2436611008039578,2023-01-05,27,3001.0,3001.0,0,0,00:00
3957,Gloves,110.0,2023-05-16,2.7,Cash,85,0,193.0,192.99999999999994,2023-11-25,14,1480.0,1480.0,0,0,00:00
4100,Loafers,147.0,2023-03-02,3.9,Credit Card,8,0,0.24366110080395795,0.2436611008039578,2023-03-02,21,2408.0,2408.0,0,0,00:00
4048,Pajamas,159.0,2022-11-08,1.2,Credit Card,34,0,0.24366110080395795,0.2436611008039578,2022-11-08,21,2312.0,2312.0,0,0,00:00
3985,Flannel Shirt,159.0,2023-03-05,2.6,Cash,7,0,0.24366110080395795,0.2436611008039578,2023-03-05,25,2626.0,2626.0,0,0,00:00
4029,Leggings,66.0,2023-06-16,3.7,Cash,0,0,0.24366110080395795,0.24366110080395778,2023-06-16,25,2242.0,2242.0,0,0,00:00
3964,Hat,45.0,2023-03-17,4.8,Cash,7,0,0.24366110080395795,0.24366110080395778,2023-03-17,22,2391.0,2391.0,0,0,00:00
4017,Bowtie,33.0,2023-09-28,3.3,Credit Card,3,0,73.0,72.99999999999999,2023-12-10,24,5232.0,5232.0,0,0,00:00
4067,Handbag,38.0,2023-05-25,3.1,Cash,14,0,185.0,184.99999999999997,2023-11-26,21,6638.0,6638.0,0,0,00:00
4108,T-shirt,110.0,2023-09-10,2.5,Credit Card,0,0,211.0,210.99999999999994,2024-04-08,26,7634.0,7634.0,0,0,00:00
4057,Jacket,110.0,2023-01-02,4.7,Cash,3,0,0.24366110080395795,0.2436611008039578,2023-01-02,22,2120.0,2120.0,0,0,00:00
4117,Kimono,162.0,2023-04-16,1.1,Cash,18,0,0.24366110080395795,0.2436611008039578,2023-04-16,26,2658.0,2658.0,0,0,00:00
4038,Jacket,110.0,2022-10-27,4.8,Credit Card,48,0,-109.0,-108.99999999999997,2022-07-10,19,1778.0,1778.0,0,0,00:00
4054,Socks,129.0,2022-12-23,,Cash,24,0,-67.0,-66.99999999999999,2022-10-17,20,5755.0,5755.0,0,0,00:00
4060,Sweater,151.0,2023-07-17,3.2,Cash,5,0,39.0,38.99999999999999,2023-08-25,18,5143.0,5143.0,0,0,00:00
4054,Handbag,12.0,2022-12-29,2.6,Credit Card,24,0,6.0,5.999999999999998,2023-01-04,20,5755.0,5755.0,0,0,00:00
4068,Pants,39.0,2023-03-21,2.4,Credit Card,17,0,-158.0,-157.99999999999997,2022-10-14,26,6157.0,6157.0,0,0,00:00
4096,Scarf,147.0,2023-02-11,4.1,Credit Card,1,0,-58.0,-57.999999999999986,2022-12-15,12,3513.0,3513.0,0,0,00:00
4011,Blouse,174.0,2023-04-21,3.4,Cash,2,0,0.24366110080395795,0.2436611008039578,2023-04-21,19,1952.0,1952.0,0,0,00:00
4001,Hoodie,85.0,2023-09-17,3.3,Cash,14,0,96.0,95.99999999999997,2023-12-22,22,5052.0,5052.0,0,0,00:00
4078,Hat,126.0,2023-06-29,2.1,Credit Card,5,0,0.24366110080395795,0.2436611008039578,2023-06-29,34,3706.0,3706.0,0,0,00:00
3992,Slippers,110.0,2023-04-26,2.9,Cash,9,0,134.0,133.99999999999997,2023-09-07,24,2568.0,2568.0,0,0,00:00
4005,Sun Hat,194.0,2022-12-16,2.9,Credit Card,0,0,0.24366110080395795,0.2436611008039578,2022-12-16,21,2397.0,2397.0,0,0,00:00
4099,Scarf,138.0,2023-05-20,2.9,Credit Card,15,0,207.0,206.99999999999994,2023-12-13,18,6222.0,6222.0,0,0,00:00
4055,Boots,139.0,2023-01-05,1.9,Credit Card,14,0,-184.0,-183.99999999999997,2022-07-05,18,4458.0,4458.0,0,0,00:00
4049,Trench Coat,170.0,2023-07-13,,Cash,3,0,0.24366110080395795,0.2436611008039578,2023-07-13,22,2399.0,2399.0,0,0,00:00
4063,Hoodie,173.0,2023-06-23,2.1,Credit Card,3,0,0.24366110080395795,0.2436611008039578,2023-06-23,27,2764.0,2764.0,0,0,00:00
3996,Belt,60.0,2023-03-04,2.3,Credit Card,26,0,0.24366110080395795,0.24366110080395778,2023-03-04,16,1641.0,1641.0,0,0,00:00
4030,Camisole,110.0,2022-10-25,,Credit Card,63,0,0.24366110080395795,0.2436611008039578,2022-10-25,16,1786.0,1786.0,0,0,00:00
3989,Overalls,148.0,2023-05-19,4.1,Credit Card,18,0,67.0,66.99999999999999,2023-07-25,22,2354.0,2354.0,0,0,00:00
3991,Blazer,145.0,2023-05-03,4.5,Credit Card,12,0,0.24366110080395795,0.2436611008039578,2023-05-03,18,2007.0,2007.0,0,0,00:00
3959,Coat,163.0,2023-05-09,3.5,Credit Card,28,0,188.0,187.99999999999997,2023-11-13,22,2377.0,2377.0,0,0,00:00
3975,Camisole,14.0,2023-02-07,3.5,Cash,2,0,0.24366110080395795,0.24366110080395778,2023-02-07,14,1340.0,1340.0,0,0,00:00
4122,Socks,110.0,2022-12-10,,Credit Card,2,0,-74.0,-73.99999999999999,2022-09-27,32,6092.0,6092.0,0,0,00:00
3961,Boots,88.0,2022-10-07,1.2,Cash,33,0,0.24366110080395795,0.2436611008039578,2022-10-07,22,2361.0,2361.0,0,0,00:00
3993,Belt,71.0,2023-05-18,4.4,Credit Card,4,0,0.24366110080395795,0.24366110080395778,2023-05-18,21,2302.0,2302.0,0,0,00:00
4081,Hat,30.0,2023-09-01,1.2,Credit Card,9,0,160.0,159.99999999999997,2024-02-08,25,4627.0,4627.0,0,0,00:00
4068,Loafers,110.0,2023-04-13,1.2,Credit Card,17,0,23.0,22.999999999999996,2023-05-06,26,6157.0,6157.0,0,0,00:00
3991,Boots,27.0,2023-09-16,2.0,Credit Card,12,0,136.0,135.99999999999997,2024-01-30,18,2007.0,2007.0,0,0,00:00
3978,Blazer,146.0,2023-01-15,3.7,Credit Card,3,0,0.24366110080395795,0.2436611008039578,2023-01-15,27,3440.0,3440.0,0,0,00:00
3992,Cardigan,42.0,2022-12-14,2.4,Credit Card,9,0,-133.0,-132.99999999999997,2022-08-03,24,2568.0,2568.0,0,0,00:00
4121,Sunglasses,150.0,2023-06-03,3.4,Credit Card,63,0,0.24366110080395795,0.2436611008039578,2023-06-03,18,2145.0,2145.0,0,0,00:00
4063,Bowtie,110.0,2022-11-05,1.3,Credit Card,3,0,-230.0,-229.99999999999994,2022-03-20,27,2764.0,2764.0,0,0,00:00
4073,Handbag,165.0,2023-09-28,3.0,Credit Card,1,0,0.24366110080395795,0.2436611008039578,2023-09-28,26,2866.0,2866.0,0,0,00:00
4111,Socks,64.0,2023-01-15,2.3,Credit Card,6,0,0.24366110080395795,0.24366110080395778,2023-01-15,26,2781.0,2781.0,0,0,00:00
4065,Sneakers,196.0,2023-03-24,4.3,Credit Card,6,0,0.24366110080395795,0.2436611008039578,2023-03-24,29,3407.0,3407.0,0,0,00:00
4116,Onesie,192.0,2023-01-16,3.6,Credit Card,13,0,0.24366110080395795,0.2436611008039578,2023-01-16,19,2188.0,2188.0,0,0,00:00
4003,Hoodie,181.0,2023-07-09,1.6,Credit Card,1,0,0.24366110080395795,0.2436611008039578,2023-07-09,20,2301.0,2301.0,0,0,00:00
4073,Swimsuit,122.0,2023-04-25,4.2,Credit Card,1,0,-156.0,-155.99999999999997,2022-11-20,26,2866.0,2866.0,0,0,00:00
4087,Vest,125.0,2023-06-02,2.6,Credit Card,23,0,193.0,192.99999999999994,2023-12-12,13,1469.0,1469.0,0,0,00:00
4065,Pajamas,110.0,2023-05-03,2.9,Credit Card,6,0,40.0,39.99999999999999,2023-06-12,29,3407.0,3407.0,0,0,00:00
4098,Coat,96.0,2023-09-21,3.5,Credit Card,10,0,0.24366110080395795,0.2436611008039578,2023-09-21,22,2145.0,2145.0,0,0,00:00
4072,Onesie,110.0,2022-12-11,1.2,Cash,9,0,57.0,56.999999999999986,2023-02-06,22,2398.0,2398.0,0,0,00:00
4055,Bowtie,160.0,2023-04-03,4.6,Cash,14,0,88.0,87.99999999999999,2023-06-30,18,4458.0,4458.0,0,0,00:00
4047,Belt,28.0,2023-08-07,,Cash,36,0,0.24366110080395795,0.24366110080395778,2023-08-07,18,1946.0,1946.0,0,0,00:00
4014,Trench Coat,25.0,2022-12-05,4.2,Cash,9,0,0.24366110080395795,0.24366110080395778,2022-12-05,14,1222.0,1222.0,0,0,00:00
4004,Flip-Flops,18.0,2023-01-21,4.1,Credit Card,7,0,0.24366110080395795,0.24366110080395778,2023-01-21,16,1676.0,1676.0,0,0,00:00
4065,Poncho,28.0,2023-06-29,3.3,Credit Card,6,0,57.0,56.999999999999986,2023-08-25,29,3407.0,3407.0,0,0,00:00
4111,Belt,81.0,2023-05-10,1.9,Credit Card,6,0,115.0,114.99999999999997,2023-09-02,26,2781.0,2781.0,0,0,00:00
3958,Tunic,64.0,2023-06-17,1.1,Cash,17,0,0.24366110080395795,0.24366110080395778,2023-06-17,20,1664.0,1664.0,0,0,00:00
4104,Pants,195.0,2023-06-02,2.5,Cash,1,0,6.0,5.999999999999998,2023-06-08,18,2175.0,2175.0,0,0,00:00
4084,Onesie,156.0,2023-08-08,1.3,Credit Card,31,0,0.24366110080395795,0.2436611008039578,2023-08-08,24,2622.0,2622.0,0,0,00:00
4017,Jeans,72.0,2022-10-28,,Credit Card,3,0,-335.0,-334.99999999999994,2021-11-27,24,5232.0,5232.0,0,0,00:00
4085,Tunic,114.0,2023-04-28,1.9,Credit Card,33,0,0.24366110080395795,0.2436611008039578,2023-04-28,15,1533.0,1533.0,0,0,00:00
4025,Pajamas,110.0,2023-09-10,3.3,Cash,6,0,0.24366110080395795,0.2436611008039578,2023-09-10,16,1970.0,1970.0,0,0,00:00
4062,Belt,110.0,2023-09-22,2.7,Credit Card,9,0,0.24366110080395795,0.2436611008039578,2023-09-22,22,1955.0,1955.0,0,0,00:00
4096,Hoodie,118.0,2022-10-17,4.4,Cash,1,0,-117.0,-116.99999999999997,2022-06-22,12,3513.0,3513.0,0,0,00:00
4104,Tunic,196.0,2023-02-13,1.2,Cash,1,0,-109.0,-108.99999999999997,2022-10-27,18,2175.0,2175.0,0,0,00:00
4050,Blazer,110.0,2023-06-23,3.1,Credit Card,67,0,0.24366110080395795,0.2436611008039578,2023-06-23,14,1444.0,1444.0,0,0,00:00
3965,Loafers,175.0,2023-06-26,2.1,Cash,3,0,0.24366110080395795,0.2436611008039578,2023-06-26,19,2028.0,2028.0,0,0,00:00
3966,Polo Shirt,110.0,2023-04-21,2.2,Credit Card,14,0,0.24366110080395795,0.2436611008039578,2023-04-21,18,2194.0,2194.0,0,0,00:00
4102,Pants,96.0,2023-07-31,2.0,Credit Card,24,0,56.0,55.999999999999986,2023-09-25,26,4855.0,4855.0,0,0,00:00
4080,Sun Hat,37.0,2023-09-14,2.4,Cash,9,0,277.0,276.99999999999994,2024-06-17,15,4481.0,4481.0,0,0,00:00
4051,Camisole,58.0,2023-01-29,4.0,Cash,7,0,-152.0,-151.99999999999997,2022-08-30,26,2643.0,2643.0,0,0,00:00
3985,Hat,45.0,2022-12-31,2.0,Credit Card,7,0,-64.0,-63.999999999999986,2022-10-28,25,2626.0,2626.0,0,0,00:00
4105,Sandals,81.0,2022-10-31,4.5,Credit Card,7,0,11.0,10.999999999999998,2022-11-11,26,2398.0,2398.0,0,0,00:00
4080,Pajamas,29.0,2023-09-22,2.4,Credit Card,9,0,8.0,7.999999999999998,2023-09-30,15,4481.0,4481.0,0,0,00:00
3977,Overalls,150.0,2023-03-22,4.7,Cash,11,0,0.24366110080395795,0.2436611008039578,2023-03-22,17,1278.0,1278.0,0,0,00:00
3993,Blazer,110.0,2023-04-09,3.4,Cash,4,0,-39.0,-38.99999999999999,2023-03-01,21,2302.0,2302.0,0,0,00:00
4091,Overalls,148.0,2023-01-30,2.7,Cash,43,0,0.24366110080395795,0.2436611008039578,2023-01-30,16,1892.0,1892.0,0,0,00:00
4028,Cardigan,33.0,2023-02-11,4.3,Credit Card,40,0,0.24366110080395795,0.24366110080395778,2023-02-11,22,1947.0,1947.0,0,0,00:00
4076,Pajamas,70.0,2022-10-05,3.2,Credit Card,93,1,0.24366110080395795,0.24366110080395778,2022-10-05,17,1588.0,1588.0,0,0,00:00
4089,Sun Hat,110.0,2023-03-28,2.6,Cash,28,0,0.24366110080395795,0.2436611008039578,2023-03-28,17,1988.0,1988.0,0,0,00:00
3977,Loafers,64.0,2022-10-15,1.6,Cash,11,0,-158.0,-157.99999999999997,2022-05-10,17,1278.0,1278.0,0,0,00:00
4090,Onesie,25.0,2023-09-18,2.1,Cash,2,0,0.24366110080395795,0.24366110080395778,2023-09-18,23,2302.0,2302.0,0,0,00:00
4113,Jacket,110.0,2023-06-27,1.3,Cash,16,0,158.0,157.99999999999997,2023-12-02,22,2491.0,2491.0,0,0,00:00
3979,Trousers,110.0,2023-08-07,4.9,Credit Card,23,0,63.0,62.999999999999986,2023-10-09,22,2445.0,2445.0,0,0,00:00
4019,Blouse,126.0,2022-12-15,3.5,Credit Card,1,0,-98.0,-97.99999999999997,2022-09-08,17,3928.0,3928.0,0,0,00:00
4077,Romper,188.0,2023-06-01,4.6,Credit Card,28,0,0.24366110080395795,0.2436611008039578,2023-06-01,22,2704.0,2704.0,0,0,00:00
4118,Onesie,152.0,2023-01-12,1.1,Credit Card,7,0,0.24366110080395795,0.2436611008039578,2023-01-12,22,2229.0,2229.0,0,0,00:00
3976,Socks,134.0,2023-07-24,2.1,Credit Card,3,0,36.0,35.99999999999999,2023-08-29,19,6271.0,6271.0,0,0,00:00
4119,Pants,110.0,2023-05-04,4.7,Cash,7,0,31.0,30.999999999999993,2023-06-04,16,1687.0,1687.0,0,0,00:00
4095,Socks,24.0,2022-11-13,1.5,Cash,12,0,0.24366110080395795,0.24366110080395778,2022-11-13,21,1960.0,1960.0,0,0,00:00
4105,T-shirt,148.0,2023-03-18,,Credit Card,7,0,138.0,137.99999999999997,2023-08-03,26,2398.0,2398.0,0,0,00:00
4036,T-shirt,110.0,2023-08-03,3.8,Credit Card,3,0,0.24366110080395795,0.2436611008039578,2023-08-03,17,2296.0,2296.0,0,0,00:00
4113,Trench Coat,22.0,2023-05-20,1.5,Cash,16,0,-38.0,-37.99999999999999,2023-04-12,22,2491.0,2491.0,0,0,00:00
3970,Camisole,138.0,2023-05-09,4.7,Cash,5,0,124.0,123.99999999999997,2023-09-10,27,3001.0,3001.0,0,0,00:00
4044,Camisole,145.0,2023-02-10,2.4,Cash,38,0,-172.0,-171.99999999999997,2022-08-22,24,9405.0,9405.0,0,0,00:00
4093,Swimsuit,110.0,2022-10-06,3.2,Cash,7,0,-231.0,-230.99999999999994,2022-02-17,25,2562.0,2562.0,0,0,00:00
3959,Kimono,30.0,2023-03-11,1.5,Cash,28,0,-59.0,-58.999999999999986,2023-01-11,22,2377.0,2377.0,0,0,00:00
4077,Vest,27.0,2023-01-08,4.6,Credit Card,28,0,-144.0,-143.99999999999997,2022-08-17,22,2704.0,2704.0,0,0,00:00
4073,Tie,182.0,2023-09-16,3.5,Cash,1,0,144.0,143.99999999999997,2024-02-07,26,2866.0,2866.0,0,0,00:00
4088,Vest,113.0,2023-09-02,1.2,Credit Card,6,0,0.24366110080395795,0.2436611008039578,2023-09-02,22,2410.0,2410.0,0,0,00:00
4077,Poncho,110.0,2023-03-15,2.4,Credit Card,28,0,66.0,65.99999999999999,2023-05-20,22,2704.0,2704.0,0,0,00:00
4103,Swimsuit,73.0,2023-04-30,2.6,Cash,11,0,160.0,159.99999999999997,2023-10-07,23,6705.0,6705.0,0,0,00:00
4041,Pajamas,20.0,2023-05-20,4.3,Cash,8,0,0.24366110080395795,0.24366110080395778,2023-05-20,16,1446.0,1446.0,0,0,00:00
